isbn13,isbn10,title,subtitle,authors,categories,description,published_year,average_rating,num_pages,ratings_count
978000710367,0007103670,koko,,peter straub,male friendship,koko is peter straubs foray into the psychological horror of the vietnam war,2001.0,3.56,634.0,7586.0
978000710504,0007105045,tree and leaf,The Homecoming of Beorhtnoth : Beorhthelm's Son,john ronald reuel tolkien,literary collections,the two works on fairystories and leaf by niggle were first brought together to form the book tree and leaf in 1964 in this new edition a third element is added the poem mythopoeia the making of mythspreface,2001.0,4.09,176.0,2245.0
978000711150,0007111509,partners in crime,,agatha christie,beresford tommy fictitious character,the famous volume of tommy  tuppence linked short stories reissued in a new look to coincide with the brand new series of tommy  tuppence bbc movies tommy and tuppence beresford were restless for adventure so when they were asked to take over blunt s international detective agency they leapt at the chance after their triumphant recovery of a pink pearl intriguing cases kept on coming their way a stabbing on sunningdale golf course cryptic messages in the personal columns of newspapers and even a box of poisoned chocolates,2001.0,3.77,347.0,9506.0
978000711380,0007113803,murder in mesopotamia,,agatha christie,detective and mystery stories,an archaeologists wife is murdered on the shores of the river tigris in iraq it was clear to amy leatheran that something sinister was going on at the hassanieh dig in iraq something associated with the presence of lovely louise wife of celebrated archaeologist dr leidner in a few days time hercule poirot was due to drop in at the excavation site but with louise suffering from terrifying hallucinations and tension within the group becoming almost unbearable poirot might just be too late,2001.0,3.89,264.0,25692.0
978000711626,0007116268,the lord of the rings the return of the king,Visual Companion,jude fisher,imaginary wars and battles,a visual guide to the third in the lord of the rings movie trilogy a largeformat fullcolour guide to the characters places landscapes artefacts battles and costumes as seen in the film it features images informative text and specially commissioned extras,2003.0,4.59,72.0,22.0
978000711753,0007117531,all families are psychotic,,douglas coupland,dysfunctional families,on the eve of the next space shuttle mission a divided family comes together warm witty and wise all families are psychotic is coupland at the very top of his form irresistibly hilarious unique and wonderful independent on sunday in a cheap motel an hour from cape canaveral janet drummond takes her medication and does a rapid tally of the whereabouts of her children wade has spent the night in jail suicidal bryan is due to arrive at any moment with his vowelfree girlfriend shw and then there is sarah a bolt of lightning frozen in midflash  here in orlando to be the star of fridays shuttle mission with janets exhusband and his trophy wife also in town janet spends a moment contemplating her family and where it all went wrong or did it,2002.0,3.69,279.0,350.0
978000711933,000711933X,death in the clouds,,agatha christie,detective and mystery stories,a woman is killed by a poisoned dart in the enclosed confines of a commercial passenger plane from seat no9 hercule poirot was ideally placed to observe his fellow air passengers over to his right sat a pretty young woman clearly infatuated with the man opposite ahead in seat no13 sat a countess with a poorlyconcealed cocaine habit across the gangway in seat no8 a detective writer was being troubled by an aggressive wasp what poirot did not yet realize was that behind him in seat no2 sat the slumped lifeless body of a woman,2001.0,3.8,333.0,21123.0
978000711935,0007119356,appointment with death,,agatha christie,detective and mystery stories,a repugnant amercian widow is killed during a trip to petra among the towering red cliffs of petra like some monstrous swollen buddha sat the corpse of mrs boynton a tiny puncture mark on her wrist was the only sign of the fatal injection that had killed her with only 24 hours available to solve the mystery hercule poirot recalled a chance remark hed overheard back in jerusalem you see dont you that shes got to be killed mrs boynton was indeed the most detestable woman hed ever met,2001.0,3.86,303.0,24859.0
978000712068,0007120680,halloween party,,agatha christie,poirot hercule fictitious character,no one believes a little girl when she insists that she has witnessed a murder until she herself turns up drowned and hercule poirot sets out to catch the killer,2001.0,3.66,336.0,18820.0
978000712069,0007120699,hercule poirots christmas,,agatha christie,christmas stories,on the night before christmas cruel tyrannical filthyrich simeon lee is found in his locked bedroom with his throat cut now hercule poirot must put his deductive powers to the test to solve one of his most chilling casesand to prevent a clever killer from spilling more blood,2001.0,3.93,335.0,23113.0
978000712081,0007120818,the big four,,agatha christie,detective and mystery stories,a ruthless international cartel seeks world domination framed in the doorway of poirots bedroom stood an uninvited guest coated from head to foot in dust the mans gaunt face stared for a moment then he swayed and fell who was he was he suffering from shock or just exhaustion above all what was the significance of the figure 4 scribbled over and over again on a sheet of paper poirot finds himself plunged into a world of international intrigue risking his life to uncover the truth about number four,2002.0,3.59,272.0,22155.0
978000712086,0007120869,the thirteen problems,,agatha christie,detective and mystery stories english,the tuesday night club is a venue where locals challenge miss marple to solve recent crimes one tuesday evening a group gathers at miss marples house and the conversation turns to unsolved crimes the case of the disappearing bloodstains the thief who committed his crime twice over the message on the deathbed of a poisoned man which read heap of fish the strange case of the invisible will a spiritualist who warned that blue geranium meant death now pit your wits against the powers of deduction of the tuesday night club,2002.0,3.89,315.0,12840.0
